game_pk,team,pitcher,batters_faced,strikeouts,innings
823366,Seattle Mariners,Bryce Miller,22,11,5.2
824258,Houston Astros,Tatsuya Imai,21,10,6.0
824747,Boston Red Sox,Connelly Early,24,9,6.0
824747,New York Yankees,Cam Schlittler,25,9,5.0
822961,Tampa Bay Rays,Ian Seymour,21,7,6.2
822717,Washington Nationals,Cade Cavalli,25,7,6.0
823209,San Francisco Giants,Landen Roupp,24,6,6.0
823209,Athletics,Jeffrey Springs,21,6,5.1
824258,Detroit Tigers,Troy Melton,20,6,6.0
822717,Philadelphia Phillies,Cristopher Sánchez,25,6,5.0
823612,New York Mets,Freddy Peralta,24,5,5.2
822797,Texas Rangers,MacKenzie Gore,25,5,7.0
822797,Toronto Blue Jays,Kevin Gausman,28,4,6.0
823366,Pittsburgh Pirates,Bubba Chandler,23,4,5.1
823612,Chicago Cubs,Matthew Boyd,21,4,4.2
822961,Kansas City Royals,Seth Lugo,24,3,5.0
