pitcher_cluster,batter_cluster,n_pa,n_k,n_bb,n_ibb,n_hbp,n_hr,n_1b,n_2b,n_3b,n_sf,n_sh,n_out,n_other
0,0,8660,1475,900,15,108,153,1318,313,29,60,34,4177,80
0,1,5813,1505,836,73,53,236,745,226,23,24,1,2057,39
0,2,7892,2550,846,19,121,214,888,258,22,58,17,2859,49
0,3,6784,1409,892,23,104,165,821,273,19,50,8,2977,49
0,4,10671,2708,879,40,139,327,1472,460,37,63,16,4444,94
0,5,5396,1242,517,23,67,107,818,190,30,37,19,2298,52
0,6,4948,945,314,13,61,98,788,189,11,43,17,2420,53
1,0,8935,1137,606,5,79,196,1517,441,35,61,40,4742,80
1,1,6211,1193,675,31,60,388,848,285,22,42,1,2633,38
1,2,7832,1872,630,11,69,368,967,362,30,53,11,3398,65
1,3,7045,1158,669,9,62,266,978,348,16,52,13,3435,44
1,4,11163,2046,648,15,105,484,1722,584,43,79,16,5340,88
1,5,5635,932,372,11,45,152,909,279,40,36,39,2785,35
1,6,5304,674,204,0,53,145,913,242,27,43,16,2933,55
2,0,6429,1289,381,8,75,127,1018,241,26,45,25,3127,69
2,1,4299,1297,407,23,29,231,498,179,14,26,0,1577,19
2,2,6042,2143,429,10,48,219,613,222,14,33,8,2265,42
2,3,5041,1304,422,14,44,148,592,197,22,30,9,2233,32
2,4,7785,2258,412,20,72,267,939,322,27,48,15,3359,55
2,5,4173,1073,247,7,45,92,592,186,31,18,11,1844,31
2,6,3874,835,138,2,41,83,537,179,9,27,14,1980,33
3,0,10265,1755,791,11,89,206,1623,406,31,86,43,5148,82
3,1,7151,1777,844,51,69,404,912,297,28,50,0,2676,48
3,2,9171,2838,768,11,101,392,969,400,19,54,11,3548,63
3,3,8308,1674,878,12,88,289,1074,322,25,61,12,3822,56
3,4,13444,3248,857,17,120,546,1818,624,50,108,10,5949,111
3,5,6331,1403,437,12,49,157,957,273,25,37,31,2888,64
3,6,6104,1143,284,3,59,176,893,300,17,44,16,3122,52
4,0,6139,1276,415,10,65,84,951,214,9,33,30,2993,62
4,1,4174,1299,385,39,37,127,518,162,13,18,2,1554,21
4,2,5628,2103,419,12,63,155,591,211,8,40,11,1980,39
4,3,4741,1198,399,15,47,80,636,180,15,27,10,2100,36
4,4,7615,2276,454,15,73,172,1036,306,20,34,12,3159,61
4,5,3878,1110,238,9,35,42,552,137,21,19,21,1661,35
4,6,3765,875,144,2,45,55,613,155,11,19,16,1800,30
5,0,12216,1740,792,14,137,190,2094,511,52,100,61,6422,114
5,1,8209,1888,799,51,82,332,1166,386,33,52,1,3375,52
5,2,10796,2818,797,10,115,360,1443,410,37,73,19,4643,78
5,3,9239,1669,855,23,96,236,1380,399,25,70,22,4392,79
5,4,14673,3050,853,22,156,471,2263,655,67,87,23,6907,129
5,5,7730,1435,452,8,82,163,1263,337,51,29,34,3803,78
5,6,7172,1048,292,10,76,169,1274,288,26,52,25,3847,65
